Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_8x10,1,220uF,
"C_3.3V-1, C_MD-1",0805,2,10uF,
"C_3.3V-2, C_5V-2, C_5V-4, C_BAT-2, C_BAT-4, C_D1-2, C_D2-2, C_D3-2, C_D4-2, C_D5-2, C_IMU-VDD1, C_IMU-VDDIO1, C_NR1, C_NRST1, C_V1, C_V2, C_V3, C_V4, C_V5, C_V6",0603,20,100nF,
"C_5V-1, C_5V-3, C_BAT-1, C_BAT-3",CP_Elec_5x5.4,4,100uF,
"C_D1-1, C_D2-1, C_D3-1, C_D4-1, C_D5-1",0805,5,4.7uF,
"C_MD-2, C_VCAP1, C_VCAP2",0603,3,2.2uF,
C_MD-3,0603,1,10nF,
"D1, D2, D3, D4, D5",PinHeader_1x02_P2.54mm_Vertical,5,TSAL6100,
D_FAN1,D_SMA,1,SS14,
"D_O1, D_O2, D_O3, D_O4",0603,4,KT-0603R,
FB1,0805,1,GZ2012D601TF,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC_RIGHT,
M2,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC_LEFT,
M3,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC_FAN,
P1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
P2,PinHeader_1x06_P2.54mm_Vertical,1,SWD,
P3,PinHeader_1x08_P2.54mm_Vertical,1,MCU_I/O,
P4,PinHeader_1x04_P2.54mm_Vertical,1,ENCODER_L,
P5,PinHeader_1x04_P2.54mm_Vertical,1,ENCODER_R,
"Q1, Q2, Q3, Q4, Q5, Q9",AO3400A,6,SOT95P280X125-3N,
Q16,TO-252-2,1,DMP3010LK3-13,
"Q_RE-1, Q_RE-2, Q_RE-3, Q_RE-4, Q_RE-5",PinHeader_1x02_P2.54mm_Vertical,5,SFH309FA-4,
"R_BAT1, R_BOOT1, R_D1-2, R_D2-2, R_D3-2, R_D4-2, R_D5-2, R_FAN1, R_IN-1, R_IN-2, R_MD1",0603,11,10k,
"R_D1-1, R_D2-1, R_D3-1, R_D4-1, R_D5-1",0603,5,62,
"R_O1, R_O2, R_O3, R_O4",0603,4,180,
"R_RE-1, R_RE-2, R_RE-3, R_RE-4, R_RE-5",0603,5,4.7k,
"SW1, SW2, SW_NRST1",TS-1187A-B-A-B,3,TS-1187A-B-A-B,
SW_ON1,K3-1235S-F1,1,K3-1235S-F1,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U2,XDCR_LSM6DSV,1,LSM6DSV,
"U3, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TPS76850QDR,
U4,SOT-23-5,1,TPS73633DBVR,
U6,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8833PWP,
U7,CONN-TH_2P-P2.00_BOSSIE_BX-PH2.0-2PZZ,1,BX-PH2.0-2PZZ,C18077744
