Designator,Mid X,Mid Y,Rotation,Layer
C1,195.6,-116.8,90.0,top
C_3.3V-1,190.8375,-86.95,0.0,top
C_3.3V-2,194.2375,-87.15,0.0,top
C_5V-1,204.0,-97.3,270.0,top
C_5V-2,200.2,-97.6,90.0,top
C_5V-3,179.2,-111.0,90.0,top
C_5V-4,182.0,-116.0,180.0,top
C_BAT-1,203.7,-117.8,90.0,top
C_BAT-2,201.0,-112.7,270.0,top
C_BAT-3,193.1,-107.0,180.0,top
C_BAT-4,183.0,-106.425,90.0,top
C_D1-1,115.0,-126.0,0.0,top
C_D1-2,114.5,-124.0,0.0,top
C_D2-1,114.95,-115.0,0.0,top
C_D2-2,114.5,-113.0,0.0,top
C_D3-1,115.0,-104.0,0.0,top
C_D3-2,114.5,-102.0,0.0,top
C_D4-1,115.0,-93.0,0.0,top
C_D4-2,114.5,-91.0,0.0,top
C_D5-1,115.0,-82.0,0.0,top
C_D5-2,114.5,-80.0,0.0,top
C_IMU-VDD1,167.5,-103.0,0.0,top
C_IMU-VDDIO1,168.5,-105.0,0.0,top
C_MD-1,171.25,-99.0,180.0,top
C_MD-2,174.5,-100.75,0.0,top
C_MD-3,174.6,-97.2,0.0,top
C_NR1,190.0375,-82.75,180.0,top
C_NRST1,144.75,-100.5,270.0,top
C_V1,146.25,-94.0,270.0,top
C_V2,150.0,-108.775,90.0,top
C_V3,157.0,-109.0,90.0,top
C_V4,161.75,-94.25,180.0,top
C_V5,148.0,-91.5,0.0,top
C_V6,144.5,-103.5,0.0,top
C_VCAP1,154.25,-109.25,270.0,top
C_VCAP2,161.75,-96.0,0.0,top
D1,111.0,-123.995,0.0,top
D2,111.0,-112.995,0.0,top
D3,111.0,-101.995,0.0,top
D4,111.0,-90.995,0.0,top
D5,111.0,-79.995,0.0,top
D_FAN1,146.3,-126.8,270.0,top
D_O1,157.68,-85.0,270.0,top
D_O2,155.09,-85.0,270.0,top
D_O3,152.5,-85.0,270.0,top
D_O4,149.91,-85.0,270.0,top
FB1,144.0,-105.5,180.0,top
M1,188.75,-101.755,180.0,top
M2,188.75,-95.495,0.0,top
M3,151.3,-127.295,0.0,top
P1,160.75,-90.75,90.0,top
P2,168.31,-86.5,90.0,top
P3,164.89,-113.5,90.0,top
P4,152.25,-117.5,90.0,top
P5,148.75,-73.5,90.0,top
Q1,121.0,-123.0,180.0,top
Q16,187.6195,-124.26,90.0,top
Q2,121.0,-112.0,180.0,top
Q3,121.5,-101.0,180.0,top
Q4,121.5,-90.0,180.0,top
Q5,121.5,-79.0,180.0,top
Q9,141.0,-120.75,270.0,top
Q_RE-1,107.0,-123.995,0.0,top
Q_RE-2,107.0,-112.995,0.0,top
Q_RE-3,107.0,-101.995,0.0,top
Q_RE-4,107.0,-90.995,0.0,top
Q_RE-5,107.0,-79.995,0.0,top
R_BAT1,187.8995,-131.5,180.0,top
R_BOOT1,151.175,-91.5,0.0,top
R_D1-1,114.5,-121.0,0.0,top
R_D1-2,114.5,-119.0,0.0,top
R_D2-1,114.5,-110.0,0.0,top
R_D2-2,114.5,-108.0,0.0,top
R_D3-1,114.5,-99.0,0.0,top
R_D3-2,114.5,-97.0,0.0,top
R_D4-1,114.5,-88.0,0.0,top
R_D4-2,114.5,-86.0,0.0,top
R_D5-1,114.5,-77.0,0.0,top
R_D5-2,114.5,-75.0,0.0,top
R_FAN1,138.3,-121.6,90.0,top
R_IN-1,138.0,-84.0,0.0,top
R_IN-2,136.5,-76.01,0.0,top
R_MD1,170.5,-94.75,180.0,top
R_O1,157.65,-80.5,90.0,top
R_O2,155.15,-80.5,90.0,top
R_O3,152.4,-80.5,90.0,top
R_O4,149.9,-80.5,90.0,top
R_RE-1,107.0,-119.0,0.0,top
R_RE-2,107.0,-108.0,0.0,top
R_RE-3,107.0,-97.0,0.0,top
R_RE-4,107.0,-86.0,0.0,top
R_RE-5,107.0,-75.0,0.0,top
SW1,144.5,-85.5,0.0,top
SW2,143.5,-79.0,0.0,top
SW_NRST1,134.0,-80.0,0.0,top
SW_ON1,179.25,-126.0,270.0,top
U1,153.0,-100.0,270.0,top
U2,164.25,-104.5,90.0,top
U3,201.5,-105.5,0.0,top
U4,194.4375,-83.55,0.0,top
U5,186.6,-111.2,180.0,top
U6,180.5,-98.7,90.0,top
U7,196.0995,-127.5,90.0,top
